Gene,Adipose-Subcutaneous,Adipose-Visceral,Adrenal_Gland,Artery-Aorta,Artery-Coronary,Artery-Tibial,Bladder,Brain-Amygdala,Brain-Anterior_cingulate_cortex,Brain-Caudate,Brain-Cerebellar_Hemisphere,Brain-Cerebellum,Brain-Cortex,Brain-Frontal_Cortex,Brain-Hippocampus,Brain-Hypothalamus,Brain-Nucleus_accumbens,Brain-Putamen,Brain-Spinal_cord,Brain-Substantia_nigra,Breast-Mammary Tissue,Cells-EBV.transformed_lymphocytes,Cells-Transformed,Colon-Sigmoid,Colon-Transverse,Esophagus-Gastroesophageal_Junction,Esophagus-Mucosa,Esophagus-Muscularis,Heart-Atrial_Appendage,Heart-Left_Ventricle,Kidney-Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle-Skeletal,Nerve-Tibial,Pancreas,Pituitary,Skin-Not_Sun_Exposed,Skin-Sun_Exposed,Small Intestine-Terminal Ileum,Spleen,Stomach,Thyroid,Whole_Blood
ALDH1A1_ENSG00000165092.8,0,0,0,0,0,0.059437047,0,0,0,0,0,0.095267843,0,0,0,0,0,0,0,0,0.053695986,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024553977,0,0,0,0,0,0,0,0,0,0
KRT6B_ENSG00000185479.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044513031,0,0,0,0,0,-0.232254895,0,0,0,0,0,0,0,0,0,0,0,-0.186940225,-0.152632276,0,0,0,0,0
PRM2_ENSG00000122304.6,-0.317894456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.908539496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.445752124,0,0,0,-0.353544622,0
SERPINF1_ENSG00000132386.6,0,0.128384076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.174534596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101689743,0,0,0.086078899,0,0,0,0,0,0
MFAP4_ENSG00000166482.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048332487,0,0,0,0,0,0,0,0,0,0,0,-0.137202845,0,0,-0.054896929,0,0,0.044338154,0,0,0,0,0,0
P4HB_ENSG00000185624.10,0.01695821,0.042028334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020152022,0,0,0,0,0,0,0,0,0.02514152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTL_ENSG00000087086.9,0,0,0,0,0,0,0,0,-0.032444171,0,0,0,0,0,0,0,0,0,0,0,-0.186525845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030345397,0.022945591,0,0,0,0,0
WISP2_ENSG00000064205.6,-0.138717303,0,0,-0.244985728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.039389094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170816692,0,0,0,0,0,0,0,0,0
HMOX1_ENSG00000100292.12,0,0,0,0,0,0,0,0,-0.013706637,0,0,0,0,0,0,0,0,0,0,0,-0.014909452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031031765,0,0,0,0,0,0,-0.209745636,0,0,0
PLCXD1_ENSG00000182378.8,0,0,0,0,0,0,0,0,-0.177798604,0,-0.336401876,-0.303492457,0,0,0,0,0,0,0,0,-0.159292353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-706O15.1_ENSG00000205664.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234195404,0.351138659,0,0,0,0,0.21428791,0,0,0,0,0,0,0,0,0,0,0,0,0.211003781,0,0,0,0,0
SMC1A_ENSG00000072501.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08276807,0.250528115,0,0,0,0,0,0,0,0.081536718,0,0,0,0,0.062764999,0,0,0,0,0,0,0,0,0,0
AMELY_ENSG00000099721.9,0,-0.095668858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221738225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.338395531,0,0,0,0,0,0,-0.959087294,-0.402349869
RPS4Y2_ENSG00000157828.5,0,0,0,0,0,0,0,0,0,-0.21966304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.930803946,-0.846093389,0,0,0
ENO1_ENSG00000074800.9,0,0.053711943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025728012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030999509,0,0,0,0,0
MARCKSL1_ENSG00000175130.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01601709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020079388,-0.01385182,0,0,0,0,0
CYP4B1_ENSG00000142973.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.160420083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157058567,0.093561614,0,0,0,0,0
CNN3_ENSG00000117519.11,-0.058995386,0,0,0,0,0,0,0,-0.067086347,0,0,0,0,0,0,0,0,0,0,0,-0.066783682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PALMD_ENSG00000099260.6,0.079812548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164944692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092272001,0,0,0,0,0,0,0,0,0,0
PROK1_ENSG00000143125.5,-0.283007531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.587523577,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080594867,0,0,0,0,0,0,0,0,0,0
OLFML3_ENSG00000116774.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045574735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055281222,0,0,0.058544421,0,0,0,0,0,0
ADAMTSL4_ENSG00000143382.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132247397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10724577,0.088941345,0,0,0,0,0
CTSK_ENSG00000143387.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214495829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138976953,0.132845359,0,0,0,0,0
S100A2_ENSG00000196754.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002202935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074383145,-0.046989565,0,0,0,0,0
