Protein ID,Gene ID,Gene name,Adrenal gland,Appendix,Brain,Colon,Duodenum,Endometrium,Esophagus,Fallopian tube,Fat,Gallbladder,Heart,Kidney,Liver,Lung,Lymph node,Ovary,Pancreas,Placenta,Prostate,Rectum,Salivary gland,Small intestine,Smooth muscle,Spleen,Stomach,Testis,Thyroid,Tonsil,Urinary bladder
ENSP00000479300;ENSP00000363516;ENSP00000445401,ENSG00000117602,RCAN3,7669,0,20070,0,11983,6011,11261,10864,0,11530,19203,8263,8344,8444,3873,3572,5048,0,28595,31674,169613,2855,2055,0,23404,0,9621,1039,3292
ENSP00000331965;ENSP00000479301,ENSG00000185561;ENSG00000275246,TLCD2,15099,0,0,3155,3310,0,374,2963,5655,0,406,0,0,1836,448,0,0,0,0,645,0,6023,0,0,9015,1445,0,0,2200
ENSP00000462665;ENSP00000479308;ENSP00000463001;ENSP00000258991,ENSG00000136478,TEX2,680105,2355,16185,1272675,142490,153348,426342,194943,745013,11290,17280,165439,29670,174815,508,16269,18396,4466,18157,76526,6807,337178,5925,11645,8226187,192641,21425,339,12421
ENSP00000374836;ENSP00000477718;ENSP00000479309,ENSG00000211655;ENSG00000273737,IGLV1-36,27267,12617,3349,0,0,4802,0,49410,22295,0,0,0,7428,9741,0,0,0,81536,0,21663,2578,3417,16461,0,51400,0,6415,8083,4254
ENSP00000479322;ENSP00000439093,ENSG00000130779,CLIP1,204294,124514,156400,70886,321785,154496,341587,101493,87146,151457,453868,106077,536411,307449,43597,123627,105385,577815,271030,298385,168977,159996,388609,99371,118095,87639,239834,43972,123041
ENSP00000479328,ENSG00000282657,IGHM,5855273,3021100,1151677,2301999,3737413,1303205,3759995,1092727,50907434,13987475,382888,2731011,1439158,2379059,863550,5135386,198398,2002119,992037,4538827,1292946,4674529,334872,824921,10352616,319419,1019954,385998,3700679
ENSP00000263121;ENSP00000479330,ENSG00000099956;ENSG00000275837,SMARCB1,0,0,4079,0,0,0,0,1373,0,0,0,5229,0,0,0,0,0,2257,0,3112,6215,0,0,0,0,0,0,0,0
ENSP00000479337,ENSG00000151150,ANK3,0,0,7576,0,0,0,0,0,4054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSP00000479385;ENSP00000238508,ENSG00000242550,SERPINB10,211584,161777,0,4183,1259,7994,1124743,4189,102752,11943,138357,0,2570,45552,8095,26103,17037,805,620,6334,233,27104,4426,99662,0,15480,175,517,40157
ENSP00000393847;ENSP00000479397,ENSG00000069764;ENSG00000276870,PLA2G10,74721,0,0,3177,16962,6103,0,0,0,6607,0,0,0,44307,0,0,6061,0,4199,37179,0,17121,0,7838,145751,211103,13440,1641,0
ENSP00000479408,ENSG00000198399,ITSN2,40978,26737,11577,17374,24459,17408,45362,9792,32446,20695,30831,33892,65403,58165,19903,19755,31662,17677,30757,31149,24759,25345,13104,32462,24194,25058,24211,19536,25837
ENSP00000479409;ENSP00000462316;ENSP00000480806,ENSG00000178104,PDE4DIP,6666,14213,56851,23389,19204,3185,17564,28419,84542,41682,29344,13605,19295,82957,917,9959,8182,22057,21190,588664,14455,32208,961,4599,70355,16430,4720,9562,5873
